Model,Method,Replicate,RF,FN,FP
1000M1,NJ (p-distance),R18,403.0,0.2006048387096774,0.2046138415245737
1000M1,NJ (p-distance),R18,403.0,0.2006048387096774,0.2046138415245737
1000M1,FastME (BME),R18,413.0,0.2056451612903226,0.20962888665997995
1000M1,FastME (BME),R18,413.0,0.2056451612903226,0.20962888665997995
1000M1,FastTree (GTR),R16,278.0,0.1379657603222558,0.14142427281845538
1000M1,FastTree (GTR),R16,278.0,0.1379657603222558,0.14142427281845538
1000M1,FastTree (JC),R16,326.0,0.162134944612286,0.16549648946840523
1000M1,FastTree (JC),R16,326.0,0.162134944612286,0.16549648946840523
1000M1,NJ (JC),R16,480.0,0.23967774420946628,0.242728184553661
1000M1,NJ (JC),R16,480.0,0.23967774420946628,0.242728184553661
1000M1,NJ (LogDet),R16,570.0,0.2849949647532729,0.28786359077231694
1000M1,NJ (LogDet),R16,570.0,0.2849949647532729,0.28786359077231694
1000M1,NJ (p-distance),R16,548.0,0.27391742195367574,0.2768304914744233
1000M1,NJ (p-distance),R16,548.0,0.27391742195367574,0.2768304914744233
1000M1,FastME (BME),R16,538.0,0.2688821752265861,0.27181544633901705
1000M1,FastME (BME),R16,538.0,0.2688821752265861,0.27181544633901705
1000M1,FastTree (GTR),R11,226.0,0.11178247734138973,0.11534603811434303
1000M1,FastTree (GTR),R11,226.0,0.11178247734138973,0.11534603811434303
1000M1,FastTree (JC),R11,276.0,0.13695871097683787,0.14042126379137412
1000M1,FastTree (JC),R11,276.0,0.13695871097683787,0.14042126379137412
1000M1,NJ (JC),R11,406.0,0.20241691842900303,0.20561685055165496
1000M1,NJ (JC),R11,406.0,0.20241691842900303,0.20561685055165496
1000M1,NJ (LogDet),R11,506.0,0.2527693856998993,0.25576730190571717
1000M1,NJ (LogDet),R11,506.0,0.2527693856998993,0.25576730190571717
1000M1,NJ (p-distance),R11,460.0,0.229607250755287,0.23269809428284854
1000M1,NJ (p-distance),R11,460.0,0.229607250755287,0.23269809428284854
1000M1,FastME (BME),R11,488.0,0.24370594159113795,0.24674022066198595
1000M1,FastME (BME),R11,488.0,0.24370594159113795,0.24674022066198595
1000M1,FastTree (GTR),R3,190.0,0.09365558912386707,0.09729187562688064
1000M1,FastTree (GTR),R3,190.0,0.09365558912386707,0.09729187562688064
1000M1,FastTree (JC),R3,238.0,0.11782477341389729,0.1213640922768305
1000M1,FastTree (JC),R3,238.0,0.11782477341389729,0.1213640922768305
1000M1,NJ (JC),R3,450.0,0.22457200402819738,0.22768304914744233
1000M1,NJ (JC),R3,450.0,0.22457200402819738,0.22768304914744233
1000M1,NJ (LogDet),R3,538.0,0.2688821752265861,0.27181544633901705
1000M1,NJ (LogDet),R3,538.0,0.2688821752265861,0.27181544633901705
1000M1,NJ (p-distance),R3,482.0,0.2406847935548842,0.24373119358074222
1000M1,NJ (p-distance),R3,482.0,0.2406847935548842,0.24373119358074222
1000M1,FastME (BME),R3,408.0,0.20342396777442096,0.20661985957873621
1000M1,FastME (BME),R3,408.0,0.20342396777442096,0.20661985957873621
1000M1,FastTree (GTR),R4,280.0,0.13824419778002017,0.14343029087261785
1000M1,FastTree (GTR),R4,280.0,0.13824419778002017,0.14343029087261785
1000M1,FastTree (JC),R4,340.0,0.16851664984863773,0.17352056168505517
1000M1,FastTree (JC),R4,340.0,0.16851664984863773,0.17352056168505517
1000M1,NJ (JC),R4,524.0,0.2613521695257316,0.2657973921765296
1000M1,NJ (JC),R4,524.0,0.2613521695257316,0.2657973921765296
